,Description,ASIN,Product Description,Manufacturer
0,"Care Instructions: Wipe with Damp Cloth
CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Nylon fabric exterior, polyester interior, Water resistant: Yes, Casing: Soft, Colour: Blue.
MOST FEATURE RICH BAG: Front zippered pocket, Interior organisation system: Pen pockets, Slip pockets, Zippered pocket, Clamshell opening, Laptop compartment with lock strap, Fits a 14” laptop, Luggage sleeve, Soft grab handles.
MAXED OUT STORAGE: Dimension: 43.5 x 27 x 13 cm, Weight - 0.55 kg, Fits a 14” laptop
Pattern Name: Solid; Age Range Description: Adult; Material Type: Nylon; Lining Description: Polyester; Pocket Description: Zipper Pocket; Style Name: Casual.",0BS9W3B21,"Meet The Zip Around Backpack, designed to levitate. So lightweight, you can zip from your university to football practice to work and back home effortlessly. Its minimal structure lends itself to an insanely roomy interior. Fits everything from large cameras to small dogs.
Easy to carry
Padded shoulder straps, that come with easy length adjustment buckle and strap lock.
Water resistant
Crafted with a water resistant nylon fabric. Travel without fearing those coffee spills.
Luggage sleeve
Secures to any Mokobara suitcase for a smooth ride.
Size specification
Size - 43.5 x 27 x 13 cm Weight - 0.55 kg Fits a 14” laptop.
The Zip Around
Interior Organisation system Staying organised has never been easier. Comes with pen pockets, slip pockets and a zippered pocket.
Front pocket Zippered front pocket gives you quick access to all your on-the-go essentials. Like your tamagotchi or your watermelon mask.
Clamshell opening With a wrap around zipper, the clamshell opening gives you max visibility to all your items. Just grab it and go!
Easy to carry Padded shoulder straps, that come with easy length adjustment buckle and strap lock.
Water resistant Crafted with a water resistant nylon fabric. Travel without fearing those coffee spills.
Luggage sleeve Secures to any Mokobara suitcase for a smooth ride.
Size specification Size - 43.5 x 27 x 13 cm , Fits a 14” laptop
Weight Weight - 0.55 kg","Designed By Mokobara Lifestyle Private Limited, Bangalore."
1,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material
Padded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the side
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder straps
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",0BSH4H4DB,"Introducing the ultimate ""Matrix"" backpack for the modern, on-the-go professional. With a dedicated anti-theft laptop compartment (15.6'), you can rest easy knowing your valuable device is secure. The backpack also features a tablet sleeve, multiple organizers, and a quick-access pocket for all your essentials. Made with premium, sustainable materials, this backpack is not only functional but also environmentally friendly. Whether you're heading to work or traveling the world, this backpack has got you covered.",Acefour Accessories Pvt. Ltd.
2,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",08Z1HHHTD,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",VIP Industries Ltd
3,"Material: Water Resistant Light-Weight Polyester<br>
Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>
Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>
Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>
Closure Type: Zipper<br>",09TPX22NF,"DESCRIPTION
Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.
Highlights
Backpack Features
Highlights
Available in 3 colors",ADISA
4,"The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways.
Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag.
Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability.
External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres.
Manufacturer warranty - 2 years",097RJ22Q3,This unisex stylish travel Bag is made of premium nylon fabric which is the most durable material. It is water and scratch resistant. It has a full lining made of polyester for additional strength and protection for your valuables.,Bagzone Lifestyle Pvt Ltd
5,"SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort
COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women
PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm
BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.
OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",085MHDJ93,"Half Moon Backpack - A Quality of Backpacks
We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.
Features
DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women.
COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers.
INNER MATERIAL: The material used in the inner compartments is thin yet strong and durable so, be assured of its quality. Thin material is used inside to make it lightweight & comfortable in carrying and to protect it from wear & tear.
LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised.
OTHER FEATURES: Rain cover, Reflector logo, Two water bottle/umbrella pockets, Secret-pocket at bottom for Rain cover and other stuffs, High-Quality zippers, Bartacks on pressure points for extra strength, Ergonomic design, etc.
Casual Stylish Backpack
This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.
Backpack for Every Needs
This MADE IN INDIA Product features 3 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Laptop Compartment, Top padded Handle for comfort. Its ergonomics comfortable design makes you forget the load you are carrying,
Spacious compartments
This casual backpack comes with three spacious zippered compartments which can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day.
Comfort & Quality
This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.
Rain / Dust Cover
This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.
Proudly Made in India
Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.
Shipped Directly from Factory
Half Moon offers high-quality bags at the lowest prices. We offer bags directly from factory to the customer to provide the bag at lowest prices possible.
Half Moon 35L Casual Waterproof Laptop Office School Backpack with Rain Cover Half Moon Large 37L Laptop College School Bag Backpack for Men & Women Half Moon 35 L 15.6 inch Waterproof Laptop Office School Bag Backpack Rain Cover Half Moon 35 L Waterproof Laptop Office School Bag Backpack with Rain Cover Half Moon Water resistant Travelling Laptop Rucksack Backpack
Size & Dimensions 48 x 35 x 21 cm 22 x 30 x 50 cm 48 x 35 x 21 cm 48 x 35 x 21 cm 49 x 36 x 22 cm
Color Navy Blue Available in Navy/Black/Sky Blue Black Navy & Orange Black
Capacity 35 Litres 37 Litres 35 Litres 35 Litres 35 Litres
Bar-tacks ✓ ✓ ✓ ✓ ✓
Rain Cover ✓ ✓ ✓ ✓ ✓
Country of Origin India India India India India",Amazing Bags
6,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.
Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)
Number of compartments: 1; Compatible Laptop Size : 15.4
Warranty Type: Manufacturer; 1 Year from the date of purchase
Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper",019HA8AYG,"Intuitively crafted at the Gear design studio to balance comfort, style, endurance and functionality.",Gear Merchandise PVT LTD
7,"Outer Material: Polyester, Color: Sea Blue
Not water resistant. With Rain Cover:No
Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)
Number of compartments: 2; Laptop Compatibility: No
Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket
Drawstring, 2 Compartments, Compact Size",07Q7CNPMV,"Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. Compact Size and 2 Compartment.",Safari Industries (India) Ltd
8,"CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Pink and Grey, Water resistant: Yes <br>
PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop <br>
MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve. <br>
HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI) <br>
Compartment Description: Up To 16 Inches; Pattern Name: Solid; Color Name: Modern Love; Lining Description: Polyester; Closure Type: Zipper; Warranty Description: 12 Months Warranty; Age Range Description: Adult <br>",08T1769X9,,Designed By Mokobara Lifestyle Private Limited
9,"SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort <br>
COMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it men? , women? , boys , girls. <br>
SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. <br>
ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.;Age Range Description: Adult; Pocket Description: Utility Pocket; Style Name: Casual <br>
OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc <br>",0BJ32LQ6X,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags
